profile,gender,birthday,favorites_anime,link
DesolatePsyche,Male,2-Oct-94,"['33352', '25013', '5530', '33674', '1482', '269', '18245', '2904', '27899', '17074', '12291', '226', '28851', '8525', '6594', '4981', '1698', '457', '235', '34618']",https://myanimelist.net/profile/DesolatePsyche
baekbeans,Female,10-Nov-00,"['11061', '31964', '853', '20583', '918', '9253', '34599', '3588', '13601', '6956']",https://myanimelist.net/profile/baekbeans
skrn,,,"['918', '2904', '11741', '17074', '23273', '32281', '9989', '1943', '512']",https://myanimelist.net/profile/skrn
edgewalker00,Male,5-Sep,"['5680', '849', '2904', '3588', '37349']",https://myanimelist.net/profile/edgewalker00
aManOfCulture99,Male,30-Oct-99,"['4181', '7791', '9617', '5680', '2167', '4382', '849', '235', '35180', '31646']",https://myanimelist.net/profile/aManOfCulture99
eneri,,,"['5114', '4898', '2904', '1575', '1482']",https://myanimelist.net/profile/eneri
Waffle_Empress,,29-May-96,"['338', '322', '440', '199', '28223', '12815', '2800', '18679', '387', '8129']",https://myanimelist.net/profile/Waffle_Empress
NIGGER_BONER,Male,1-Jan-85,"['11061', '30', '6594', '28701', '10087', '6746', '918', '1535', '24415', '5081']",https://myanimelist.net/profile/NIGGER_BONER
jchang,Male,29-Jul-92,"['846', '2904', '5114', '2924', '72']",https://myanimelist.net/profile/jchang
shadowsplat,,,[],https://myanimelist.net/profile/shadowsplat
angelsreview,Female,26-May-89,"['534', '71', '7724', '861', '5060', '853']",https://myanimelist.net/profile/angelsreview
CalebTheMenace,Male,29-Jun-04,"['4181', '11617', '1735', '35849', '28999', '29803', '31964', '36098', '5081', '8525']",https://myanimelist.net/profile/CalebTheMenace
Kiethol,,,[],https://myanimelist.net/profile/Kiethol
Eanki,Male,3-Dec-95,"['27989', '28851', '17265', '15227', '35557', '24', '5420', '4224', '23289', '31859']",https://myanimelist.net/profile/Eanki
NekoKyupi,Male,8-Jan-01,"['34599', '4181', '9756', '32949', '30654', '28851']",https://myanimelist.net/profile/NekoKyupi
12sed,,,"['30', '16201', '22135']",https://myanimelist.net/profile/12sed
OVERPOWERED99,Male,16-Nov-00,"['5680', '15051', '31953', '31964', '16498', '6213', '21647', '3455', '12189', '18679']",https://myanimelist.net/profile/OVERPOWERED99
MrAnimeCrunch,Male,,[],https://myanimelist.net/profile/MrAnimeCrunch
JoJo_Stalin,Male,4-Aug-00,"['1050', '227', '1921', '1029', '18679']",https://myanimelist.net/profile/JoJo_Stalin
Kaishuu,Male,10-Jun-99,"['27899', '1535', '2167', '22319']",https://myanimelist.net/profile/Kaishuu
